ASIN,Overall_Rating,Review_Count,5Star,4Star,3Star,2Star,1Star
B0DV3FQYC3,5.0,1.0,100,0,0,0,0
B0DY7WV4MN,,,0,0,0,0,0
B0DSKW2R4C,,,0,0,0,0,0
B0DSV5WFHY,,,0,0,0,0,0
B0CKHL6DG5,,,0,0,0,0,0
B0DYL4XPLL,,,0,0,0,0,0
B0DCNG24CP,,,43,57,0,0,0
B0DTL96JVS,5.0,1.0,70,30,0,0,0
B0DY7WS2VW,,,0,0,0,0,0
B0DY7QB2XQ,,,0,0,0,0,0
B0DYL2KJHM,,,0,100,0,0,0
B0DXQQD6FQ,,,0,0,0,0,0
B0DCNQ8FRM,,,0,0,0,0,0
B0DXQYBTNS,5.0,1.0,100,0,0,0,0
B0DYJ43DTW,,,0,0,0,0,0
B0DPLYTF2X,,,0,0,0,0,0
B0DX798L8B,3.0,10.0,33,0,34,0,33
B0DRFZPZFJ,4.6,15.0,68,19,8,5,0
B0DQT34H7G,4.7,21.0,73,27,0,0,0
B0DSJJ3KK7,,,0,0,0,0,0
B0DT4LBQ78,5.0,1.0,100,0,0,0,0
B0DY7LPH43,,,0,0,0,0,0
B0DPZCZJLV,4.4,709.0,73,19,6,1,1
B0DXVZ3SKR,,,0,0,0,0,0
B0DSZN7VKT,4.4,535.0,72,16,5,2,5
B0DYFDML1L,,,0,0,0,0,0
B0DSTBPNN9,5.0,1.0,34,0,0,20,46
B0D8Q2RQWM,,,0,0,0,0,0
B0DDLJLKH1,,,0,0,0,0,0
B0DSHWQNFX,5.0,7.0,59,25,16,0,0
B0DYDXF698,,,0,0,0,0,0
B0DQWV66RB,4.2,23.0,50,33,12,5,0
B0DQTXX8YH,4.3,17.0,56,27,11,0,6
B0DRD19XTT,5.0,12.0,85,15,0,0,0
B0DRCGPD6J,3.0,3.0,27,25,24,24,0
B0DRCQSTTC,5.0,3.0,100,0,0,0,0
B0DS23C1H7,,,0,0,0,0,0
B0DXKWKBL9,5.0,1.0,100,0,0,0,0
B0DW2LGLHC,4.5,11.0,89,6,0,0,5
B0DRMZYYCW,,,100,0,0,0,0
B0DP9Z6HFD,,,0,0,0,0,0
B0DPYVRF85,,,0,0,0,0,100
B0D1T4FDYX,,,0,0,0,0,0
B0DT65QDJ1,,,0,0,0,0,0
B0DTFBMC1N,4.7,8.0,76,24,0,0,0
B0DXPKBP2H,,,0,0,0,0,0
B0DX8HXDP7,5.0,1.0,100,0,0,0,0
B0DSW51MX5,,,70,30,0,0,0
B0DLGZ5BBG,,,0,0,0,0,0
B0DSC9WNBN,3.1,5.0,33,31,0,18,18
B0DX7GDNR5,5.0,5.0,100,0,0,0,0
B0DW7RCLPB,5.0,8.0,100,0,0,0,0
B0DPM1YXSB,,,0,0,0,0,0
B0DSW3DBFV,3.0,2.0,0,52,0,48,0
B0DSGD2DP4,,,0,0,0,0,0
B0DXFHK6GJ,1.4,5.0,17,0,0,0,83
B0DXFYD5BD,,,100,0,0,0,0
B0DDR697FB,,,0,0,0,0,0
B0D7Y9BLWL,,,0,0,0,0,0
B0DTK879H9,,,0,0,0,0,0
B0D7ZSSDLM,4.5,2.0,52,48,0,0,0
B0DPN2VHD2,4.2,26.0,46,43,7,0,4
B0DWSYTX18,4.4,,73,13,7,2,5
B0DNTHJFYK,4.5,59.0,59,35,6,0,0
B0DRP58PN8,3.0,1.0,0,0,100,0,0
B0DSKJZGN8,4.3,18.0,55,20,19,6,0
B09W91M1TH,4.8,10.0,73,27,0,0,0
B0DSJH1644,3.6,6.0,20,42,19,19,0
B0DKDSYHVV,,,0,0,0,0,0
B0DK6FRPQ9,,,100,0,0,0,0
B0DX5LY7DV,,,0,0,0,0,0
B0DX21W6MC,,,0,0,0,0,0
B0DWXKY6LL,,,0,0,0,0,100
B0DK4M91YV,,,0,0,0,0,0
B0DXBV98J4,,,0,0,0,0,0
B0DPWTR3LF,4.7,7.0,55,22,23,0,0
B0DSVP4CXS,5.0,1.0,100,0,0,0,0
B0DSZM12Y3,,,0,0,0,0,0
B0DWMRH7S6,,,0,0,0,0,0
B0DL5ZX34T,4.6,49.0,77,19,3,0,1
B0DXH63W6N,,,0,0,0,0,0
B0DX6W81W1,,,0,0,0,0,0
B0DWXBPLZZ,,,0,0,0,0,0
B0DWRHX617,,,0,0,0,0,0
B0DWWWS35X,,,0,0,0,0,0
B0DVV8GTHZ,,,54,23,0,23,0
B0DWSYN243,4.3,,66,17,8,4,5
B0DX4THZVS,,,0,0,0,0,0
B0CX33P3XS,,,0,0,0,0,0
B0DXNFMDBH,,,0,0,0,0,0
B0DSLGWTX7,4.8,7.0,84,16,0,0,0
B0DRYD2GDZ,5.0,1.0,100,0,0,0,0
B0DPMN3T9V,,,0,0,0,0,0
B0DQNVVRHB,,,100,0,0,0,0
B0DSC4YX2W,4.7,20.0,87,7,6,0,0
B0DS9M3BZN,4.1,6.0,74,13,0,0,13
B0DRP3SYB9,,,0,0,100,0,0
B0DWNJ3F1P,3.2,6.0,43,14,15,14,14
B0DX1VZ8M3,,,0,0,0,0,0
B0DWZRY2SR,,,0,0,0,0,0
B0DSPNSCG6,5.0,6.0,84,0,0,0,16
B0DK7HT3NG,4.2,48.0,57,23,9,3,8
B0DS6WF39Z,,,0,0,0,0,0
B0DSVHH52L,4.6,145.0,75,16,5,3,1
B0DSVLM2FJ,4.8,6.0,73,27,0,0,0
B0DXKGV5GM,,,0,0,0,0,0
B0DPLT5QWP,,,0,0,0,0,0
B0DSVPL5C4,,,0,0,0,0,0
B0DRYWMVSY,2.0,1.0,0,0,0,100,0
B0DRXKGYJS,5.0,2.0,100,0,0,0,0
B0DNQ1KSFM,,,0,0,0,0,0
B0DSVQ5X7Y,,,0,0,0,0,0
B0DSVPVCL6,,,100,0,0,0,0
B0DKSNZ8SQ,4.9,10.0,68,32,0,0,0
B0DP88JH8R,,,0,0,0,0,0
B0DS9PRVNG,,,100,0,0,0,0
B0DDCS44C7,5.0,1.0,100,0,0,0,0
B0DW5QS2RM,,,0,0,0,0,0
B0DJNL63X3,4.7,,84,11,4,0,1
B0DX84RCPS,,,0,0,0,0,0
B0DX2YV2M6,,,0,0,0,0,0
B0DX89H4W2,,,0,0,0,0,0
B0DX4VBMWQ,,,0,0,0,0,0
B0DSTW7DZZ,4.4,16.0,42,51,7,0,0
B0DPFD6HLD,,,0,0,0,0,0
B0DS58NR7Z,,,0,0,0,0,0
B0DTK7M5TH,,,0,0,0,0,0
B0DRS81RTR,5.0,1.0,100,0,0,0,0
B0DQKSJSZR,,,0,0,0,0,0
B0DSW5ZZG2,,,0,0,0,0,0
B0DSBCPQWK,4.0,2.0,51,0,49,0,0
B0DTBS9SMF,5.0,3.0,100,0,0,0,0
B0DWYMWNFJ,,,0,0,0,100,0
B0DT8T73KQ,,,100,0,0,0,0
B0DW7ZY1MX,,,0,0,0,0,0
B0DRGBJ7NF,5.0,8.0,94,6,0,0,0
B0DPHP9JZM,,,0,0,0,0,0
B0DR4BG46B,,,51,31,18,0,0
B0DT536HCC,,,0,0,0,0,0
B0DRJTBDHL,,,0,0,0,0,0
B0DSZ7MWSB,,,0,0,0,0,0
B0DSZ4S4P8,,,0,0,0,0,0
B0DQD2Y93T,,,100,0,0,0,0
B0DPZSN15W,,,0,0,0,0,0
B0DSG7L68J,,,0,0,0,0,0
B0DSG6R273,,,0,0,0,0,0
B0DPPY3QGY,,,0,0,0,0,0
B0DSFWX52B,4.4,16.0,74,15,6,0,5
B0DSFTTMCQ,4.6,14.0,77,13,10,0,0
B0DSFXCZW8,4.0,29.0,40,37,14,4,5
B0DS1ND723,4.7,26.0,79,13,4,0,4
B0DWT2HFBY,,,0,0,0,0,0
