ASIN,CategoryID
B0DQ54KSBJ,1
B0DRD4GKPP,1
B0DWWZ1XNZ,1
B0DT3YX1RJ,1
B0DR4MCKG3,1
B0DWF7TS1C,1
B0DPG1GPHW,1
B0DWF65PCN,1
B0DWT1MSXR,1
B0DWT3DRDR,1
B0DWT1G3FB,1
B0DWT2HMZW,1
B0DWT4BP8K,1
B0DWT27FH7,1
B0DWT279DR,1
B0DWSG9LTY,1
B0DWT1M1H8,1
B0DWT4RCJ1,1
B0DWT2G4YN,1
B0DWT38D7R,1
B0DWT3C9S6,1
B0DWSZWT4B,1
B0DWT1MZNM,1
B0DWT4VGN6,1
B0DWT2NWVN,1
B0DWT2HTMW,1
B0DWT1W64R,1
B0DWT32P81,1
B0DWT3LNVB,1
B0DWT1ZYCK,1
B0DWT341R7,1
B0DWT1HWF6,1
B0DWT2GC3P,1
B0DWT4X181,1
B0DWT2468H,1
B0DPPJJ8PL,1
B0DPFM17XF,1
B0DRNVVGNF,1
B0DQNT1WG9,1
B0DSD1CVLV,1
B0DSD226YW,1
B0DSFHSN1J,1
B0DSGXF78R,1
B0DSFGB1XR,1
B0DQ7PYXBZ,1
B0DSC3KKGQ,1
B0DNTCQ4RW,1
B0DRYRXGXD,1
B0DQ4PWRQL,1
B0DQPVPKGN,1
B0DPWXDNV4,1
B0DS5WC18Z,1
B0DPX68VK7,1
B0DNYJ89GF,1
B0DPZTLVHL,1
B0DT9ZL2WZ,1
B0DT45RRM7,1
B0DR61QT92,1
B0DQTZ4G5P,1
B0DQQ14ZRX,1
B0DRK5VLBC,1
B0DR46MY47,1
B0DSG2M1RH,1
B0DSFDJT81,1
B0DT8TJ8X9,1
B0DRNLGXC9,1
B0DSFHJY7N,1
B0DPHRYPG6,1
B0D7Y6JV7G,1
B0DPXJMY2L,1
B0D7YCPGHF,1
B0DQSR7NCN,1
B0DWDLL8W4,1
B0DWFJHTGX,1
B0D2XJLSHV,1
B0DPKRW92M,1
B0DQW7RTHQ,1
B0DQSX2G35,1
B0DT9N75F8,1
B0DWD4SZZF,1
B0DVZSNZ1L,1
B0DK4P4N3Z,1
B0DTP5ZLR3,1
B0DVBSWRRJ,1
B0DTCQH557,1
B0DQST19W2,1
B0DQV6VXM9,1
B0DQV38QBP,1
B0DQ4NLN73,1
B0DS2BVQZY,1
B0DW77HFH6,1
B0DSHY87L8,1
B0DLFHX34M,1
B0DVVDFHSV,1
B0DVMM91FF,1
B0DLX2FMGZ,1
B0DT6M7L48,1
B0DLXSS1YQ,1
B0DQPLQ984,1
B0DPQ43HV2,1
B0DS1X66QP,1
B0DQKGWWB2,1
B0DRPH116B,1
B0DSLVCGWF,1
B0DS28M2YC,1
B0DLPMGCJW,1
B0DVZ76FTF,1
B0DNZH6SY2,1
B0DVN47KGS,1
B0DS2SYTNP,1
B0DVV9D11C,1
B0DTPYYT8B,1
B0DS21R2GF,1
B0DSJNCRF7,1
B0DBVGSZY6,1
B0DBVFK5X2,1
B0DVLG9XHC,1
B0DPG2CV8W,1
B0DRNC6K7H,1
B0DSQZC776,1
B0DTJC6HKF,1
B0CPB1B4MC,1
B0DRVSJZV3,1
B0DQ8FWHMT,1
B0DNQDWQ7V,1
B0DR6562KP,1
B0DS5XT8K8,1
B0DS229FTN,1
B0DNJX5Z62,1
B0DQ7TGXP3,1
B0C42DLRNB,1
B0C42FL51V,1
B0DHSBGCPW,1
B0DQ7F7DT7,1
B0DQ7HQ46F,1
B0DTFQGNJH,1
B0DTH54MLF,1
B0DNYXZY15,1
B0DPL7VQQV,1
B0DP2H226Y,1
B0DQ7WWDMZ,1
B0DQG5K7LB,1
B0DNPZMMRZ,1
B0DP6Y1NWG,1
B0DPN43Z2F,1
B0DNYPN7XR,1
B0DPFMD2BK,1
B0DP5B4381,1
B0DRFZJ4FR,1
B0DPWV2S8S,1
B0DQT7GW41,1
B0DP42XQMP,1
B0DPM9CYPH,1
B0DQCH3QWF,1
B0DT9Q538S,1
B0DS5QGHQ6,1
B0DQ8FV6C7,1
B0DTKV8F1Z,1
B0DSWLSHQR,1
B0DLGYQ8K4,1
B0DQP4G1BN,1
B0DSL1M7G5,1
B0DSKYFNLP,1
B0DLHRYS69,1
B0DR87F1RZ,1
B0DSH7NQ9H,1
B0DSKY2J8B,1
B0DRFPJQ45,1
B0DRYP9G7L,1
B0DN2V9W51,1
B0DDLB5QHP,1
B0DJKV2SYX,1
B0DSJCPK7G,1
B0DQPK6MM1,1
B0DT6Q1XX5,1
B0DQPK98WN,1
B0DK7158G4,1
B0DM8MGLRK,1
B0DNVNMBJ3,1
B0DQVSXFJG,1
B0DT9ZT6DX,1
B0DTJLDVSJ,1
B0DTJGDV7L,1
B0DMTSM7HP,1
B0DT9H1B1T,1
B0DT46M6NQ,1
B0DT933GQB,1
B0DT3GH6KG,1
B0DRYNZWL1,1
B0DRCBXC91,1
B0DK4MD7NH,1
